id,movie_id,imdb_id,movie_name,genre,vectors
47,49,114916,When Night Is Falling (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
48,50,114814,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0
49,52,113819,Mighty Aphrodite (1995),Comedy|Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
50,53,110299,Lamerica (1994),Adventure|Drama,0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0
51,54,112499,"Big Green, The (1995)",Children|Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0
52,55,113158,Georgia (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
53,57,113321,Home for the Holidays (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
54,58,110877,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
55,59,112714,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
56,60,113419,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|1|0|0
57,61,116260,Eye for an Eye (1996),Drama|Thriller,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
58,62,113862,Mr. Hollands Opus (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
59,63,116126,Dont Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0
60,64,118002,Two if by Sea (1996),Comedy|Romance,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
61,65,115683,Bio-Dome (1996),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
62,66,116839,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0
63,68,113149,French Twist (Gazon maudit) (1995),Comedy|Romance,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
64,69,113118,Friday (1995),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
65,70,116367,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|1|0
66,71,113010,Fair Game (1995),Action,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
67,72,113537,Kicking and Screaming (1995),Comedy|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
68,73,113828,"Misérables, Les (1995)",Drama|War,0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0
69,74,115644,Bed of Roses (1996),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
70,75,115676,Big Bully (1996),Comedy|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
71,76,114367,Screamers (1995),Action|Sci-Fi|Thriller,0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0
72,78,112744,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,0|0|0|0|0|0|1|1|0|0|0|0|0|1|0|0|0|0|1|0
73,79,116731,"Juror, The (1996)",Drama|Thriller,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
74,80,112445,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0
75,81,114660,Things to Do in Denver When Youre Dead (1995),Crime|Drama|Romance,0|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
76,82,112379,Antonias Line (Antonia) (1995),Comedy|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
77,83,114039,Once Upon a Time... When We Were Colored (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
78,84,113612,Last Summer in the Hamptons (1995),Comedy|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
79,85,112365,Angels and Insects (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
80,86,118158,White Squall (1996),Action|Adventure|Drama,0|0|0|0|0|0|0|1|0|0|0|0|1|1|0|0|0|0|0|0
81,87,116151,Dunston Checks In (1996),Children|Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0
82,88,115697,Black Sheep (1996),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
83,89,113972,Nick of Time (1995),Action|Thriller,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0
84,90,113490,"Journey of August King, The (1995)",Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
85,92,117002,Mary Reilly (1996),Drama|Horror|Thriller,0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
86,93,114825,Vampire in Brooklyn (1995),Comedy|Horror|Romance,0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
87,94,115639,Beautiful Girls (1996),Comedy|Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
88,95,115759,Broken Arrow (1996),Action|Adventure|Thriller,0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|1|0
89,96,113403,In the Bleak Midwinter (1995),Comedy|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
90,97,113247,"Hate (Haine, La) (1995)",Crime|Drama,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
91,100,115907,City Hall (1996),Drama|Thriller,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
92,101,115734,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,0|1|0|0|0|0|1|0|0|0|0|0|1|0|0|1|0|0|0|0
93,102,117102,Mr. Wrong (1996),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
94,103,118040,Unforgettable (1996),Mystery|Sci-Fi|Thriller,1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
95,104,116483,Happy Gilmore (1996),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
96,105,112579,"Bridges of Madison County, The (1995)",Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
97,107,117110,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|1|0|1|0|0
98,108,112646,Catwalk (1996),Documentary,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
99,110,112573,Braveheart (1995),Action|Drama|War,0|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0
100,111,75314,Taxi Driver (1976),Crime|Drama|Thriller,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|1|0
101,112,113326,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,0|0|0|0|0|0|1|0|0|0|0|0|1|1|0|1|0|0|0|0
102,113,115645,Before and After (1996),Drama|Mystery,1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
103,114,113774,Margarets Museum (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
104,115,112556,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
105,116,112373,Anne Frank Remembered (1995),Documentary,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
106,117,115033,"Young Poisoners Handbook, The (1995)",Crime|Drama,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
107,118,116606,If Lucy Fell (1996),Comedy|Romance,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
108,121,106473,"Boys of St. Vincent, The (1992)",Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
109,122,103859,Boomerang (1992),Comedy|Romance,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
110,123,109424,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
111,124,114808,"Star Maker, The (Uomo delle stelle, L) (1995)",Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
112,125,116324,Flirting With Disaster (1996),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
113,126,110647,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|1|0|0
114,129,114131,Pie in the Sky (1996),Comedy|Romance,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
115,131,113107,Frankie Starlight (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
116,132,113451,Jade (1995),Thriller,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
117,135,116130,Down Periscope (1996),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
118,137,113756,Man of the Year (1995),Documentary,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
119,138,113952,"Neon Bible, The (1995)",Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
120,140,118055,Up Close and Personal (1996),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
121,141,115685,"Birdcage, The (1996)",Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
122,144,112585,"Brothers McMullen, The (1995)",Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
123,145,112442,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,0|0|0|0|0|0|1|1|0|0|0|0|0|1|0|1|0|0|1|0
124,146,112342,"Amazing Panda Adventure, The (1995)",Adventure|Children,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
125,147,112461,"Basketball Diaries, The (1995)",Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
126,149,109093,Amateur (1994),Crime|Drama|Thriller,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|1|0
127,150,112384,Apollo 13 (1995),Adventure|Drama|IMAX,0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0
128,151,114287,Rob Roy (1995),Action|Drama|Romance|War,0|1|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0
129,152,112288,"Addiction, The (1995)",Drama|Horror,0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
130,153,112462,Batman Forever (1995),Action|Adventure|Comedy|Crime,0|0|0|0|0|0|1|0|0|0|0|0|1|1|0|1|0|0|0|0
131,154,61395,Beauty of the Day (Belle de jour) (1967),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
132,155,112495,Beyond Rangoon (1995),Adventure|Drama|War,0|0|0|0|0|0|0|1|0|0|0|1|1|0|0|0|0|0|0|0
133,156,112541,Blue in the Face (1995),Comedy|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
134,157,109370,Canadian Bacon (1995),Comedy|War,0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0
135,158,112642,Casper (1995),Adventure|Children,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
136,159,112688,Clockers (1995),Crime|Drama|Mystery,1|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
137,160,112715,Congo (1995),Action|Adventure|Mystery|Sci-Fi,1|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0
138,161,112740,Crimson Tide (1995),Drama|Thriller|War,0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|1|0
139,162,109508,Crumb (1994),Documentary,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
140,163,112851,Desperado (1995),Action|Romance|Western,0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1
141,164,112857,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|1|0
142,165,112864,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|1|0
143,166,112887,"Doom Generation, The (1995)",Comedy|Crime|Drama,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0
144,168,113071,First Knight (1995),Action|Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0
145,169,113114,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0
146,170,113243,Hackers (1995),Action|Adventure|Crime|Thriller,0|0|0|0|0|0|1|0|0|0|0|0|1|1|0|0|0|0|1|0
147,171,113464,Jeffrey (1995),Comedy|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
148,172,113481,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0
149,173,113492,Judge Dredd (1995),Action|Crime|Sci-Fi,0|0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0
150,174,113500,Jury Duty (1995),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
151,175,113540,Kids (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
152,176,113677,Living in Oblivion (1995),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
153,177,113690,Lord of Illusions (1995),Horror,0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
154,178,107447,Love & Human Remains (1993),Comedy|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
155,179,113729,Mad Love (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
156,180,113749,Mallrats (1995),Comedy|Romance,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
157,181,113820,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0
158,182,113851,Moonlight and Valentino (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
159,183,110604,Mute Witness (1994),Comedy|Horror|Thriller,0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0
160,184,110620,Nadja (1994),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
161,185,113957,"Net, The (1995)",Action|Crime|Thriller,0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|1|0
162,186,113986,Nine Months (1995),Comedy|Romance,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
163,187,114095,Party Girl (1995),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
164,188,114194,"Prophecy, The (1995)",Fantasy|Horror|Mystery,1|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
165,190,114323,Safe (1995),Thriller,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
166,191,114345,"Scarlet Letter, The (1995)",Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
167,193,114436,Showgirls (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
168,194,114478,Smoke (1995),Comedy|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
169,195,114496,Something to Talk About (1995),Comedy|Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
170,196,114508,Species (1995),Horror|Sci-Fi,0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
171,198,114558,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1|0|0|1|0|0|1|1|0|0|0|0|0|1|0|0|0|0|1|0
172,199,58450,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,0|1|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0
173,200,114666,"Tie That Binds, The (1995)",Thriller,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
174,201,114663,Three Wishes (1995),Drama|Fantasy,0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0
175,202,114702,Total Eclipse (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
176,203,114682,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
177,204,114781,Under Siege 2: Dark Territory (1995),Action,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
178,205,114798,Unstrung Heroes (1995),Comedy|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
179,206,114805,Unzipped (1995),Documentary,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
180,207,114887,"Walk in the Clouds, A (1995)",Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
181,208,114898,Waterworld (1995),Action|Adventure|Sci-Fi,0|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0
182,209,114928,White Mans Burden (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
183,210,114938,Wild Bill (1995),Western,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
184,211,109340,"Browning Version, The (1994)",Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
185,212,112602,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,1|0|0|0|0|0|1|0|0|0|0|0|1|0|0|1|0|0|0|0
186,213,111579,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
187,214,110882,Before the Rain (Pred dozhdot) (1994),Drama|War,0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0
188,215,112471,Before Sunrise (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
189,216,112508,Billy Madison (1995),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
190,217,112438,"Babysitter, The (1995)",Drama|Thriller,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
191,218,112571,Boys on the Side (1995),Comedy|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
192,219,112757,"Cure, The (1995)",Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
193,220,112643,Castle Freak (1995),Horror,0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
194,222,112679,Circle of Friends (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
195,223,109445,Clerks (1994),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
196,224,112883,Don Juan DeMarco (1995),Comedy|Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
197,225,109635,Disclosure (1994),Drama|Thriller,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
198,226,112899,Dream Man (1995),Thriller,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
199,227,109676,Drop Zone (1994),Action|Thriller,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0
200,228,112854,Destiny Turns on the Radio (1995),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
201,229,109579,Death and the Maiden (1994),Drama|Thriller,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
